20
20
wl;11;12
wy;12;12
d;14;14
bt;12;12;2
wy;13;12
bx;13;12
wl;14;12
wy;15;12
bx;15;12
wy;16;12
z;16;12
wl;17;12
wy;18;12
wl;19;12
wl;0;13
wy;1;13
wl;2;13
wl;4;13
wy;5;13
wl;6;13
wl;7;13
wl;8;13
wl;9;13
wl;10;13
wy;11;13
bx;11;13
wy;12;13
wy;13;13
wl;14;13
wl;15;13
wl;16;13
wl;17;13
wl;19;13
wl;0;14
wl;2;14
wy;3;14
wl;4;14
wy;5;14
wl;6;14
wy;7;14
wy;8;14
wy;9;14
wy;10;14
wy;11;14
wy;12;14
wy;13;14
wy;15;14
wy;16;14
wy;17;14
wy;18;14
wl;19;14
wl;0;15
wy;1;15
wl;2;15
wy;3;15
d;1;14
bt;3;15;1
wl;4;15
wy;5;15
wl;6;15
wy;7;15
wl;8;15
wl;9;15
wl;10;15
wl;11;15
wl;12;15
wl;13;15
wl;14;15
wl;15;15
wy;16;15
wl;17;15
wl;18;15
wl;19;15
wl;0;16
wy;1;16
wl;2;16
wy;3;16
wy;4;16
wy;5;16
wl;6;16
wy;7;16
wl;8;16
wy;9;16
z;9;16
wy;10;16
wy;11;16
wy;12;16
wy;13;16
a;14;16
wy;15;16
bx;15;16
wy;16;16
wy;17;16
wy;18;16
sw;19;16
wl;0;17
wy;1;17
wl;2;17
wl;3;17
wl;4;17
wl;5;17
wl;6;17
wy;7;17
wl;8;17
wy;9;17
wy;10;17
wy;11;17
r;11;17
wy;12;17
wy;13;17
a;14;17
wy;15;17
wy;16;17
a;17;17
a;18;17
wl;19;17
wl;0;18
wy;1;18
wy;2;18
wy;3;18
wy;4;18
wy;5;18
wy;6;18
wy;7;18
wl;8;18
wy;9;18
z;9;18
wy;10;18
wy;11;18
wy;12;18
wy;13;18
a;14;18
wy;15;18
wy;16;18
d;18;13
bt;16;18;1
a;17;18
wy;18;18
z;18;18
wl;19;18
wl;0;19
wl;1;19
wl;2;19
wl;3;19
wl;4;19
wl;5;19
wl;6;19
wl;7;19
wl;8;19
wl;9;19
wl;10;19
wl;11;19
wl;12;19
wl;13;19
wl;14;19
wl;15;19
wl;16;19
wl;17;19
sw;18;19
wl;19;19
